题号,题目,难度,频度
1628,统计全 1 子矩形,2,1
1342,可以攻击国王的皇后,2,1
1770,字符频次唯一的最小删除次数,2,1
894,黑名单中的随机数,3,1
218,天际线问题,3,1
1349,缀点成线,1,1
566,重塑矩阵,1,1
99990015,自然数数组的排序,2,1
100187,删除中间节点,1,1
100178,后继者,2,1
1045,检查替换后的词是否有效,2,1
1125,设计文件系统,2,1
299,猜数字游戏,1,1
648,单词替换,2,1
323,无向图中连通分量的数目,2,1
968,漂亮数组,2,1
689,三个无重叠子数组的最大和,3,1
126,单词接龙 II,3,1
1567,定长子串中元音的最大数目,2,1
793,在LR字符串中交换相邻字符,2,1
458,可怜的小猪,3,1
313,超级丑数,2,1
1369,交换字符使得字符串相同,2,1
296,最佳的碰头地点,3,1
646,最长数对链,2,1
924,公平的糖果交换,1,1
884,相似度为 K 的字符串,3,1
219,存在重复元素 II,1,1
1252,破坏回文串,2,1
933,递增顺序查找树,1,1
891,翻转矩阵后的得分,2,1
1542,连续字符,1,1
978,有效的山脉数组,1,1
874,比较含退格的字符串,1,1
1794,数组的最小偏移量,3,1
1041,可以被一步捕获的棋子数,1,1
987,按递增顺序显示卡牌,2,1
1690,乘积为正数的最长子数组长度,2,1
570,至少有5名直接下属的经理,2,1
355,设计推特,2,1
1570,商品折扣后的最终价格,1,1
493,翻转对,3,1
1000139,速算机器人,1,1
963,三等分,3,1
1304,最长快乐字符串,2,1
1428,跳跃游戏 III,2,1
367,有效的完全平方数,1,1
100195,堆盘子,2,1
100093,覆盖,3,1
1144,水资源分配优化,3,1
1480,电影评分,2,1
514,自由之路,3,1
1713,两个稀疏向量的点积,2,1
1738,最大网络秩,2,1
643,子数组最大平均数 I,1,1
258,各位相加,1,1
598,范围求和 II,1,1
770,情侣牵手,3,1
728,自除数,1,1
1204,每日新用户统计,2,1
1535,生成数组,3,1
717,1比特与2比特字符,1,1
1685,石子游戏 V,3,1
588,设计内存文件系统,3,1
361,轰炸敌人,2,1
1642,换酒问题,1,1
549,二叉树中最长的连续序列,2,1
609,在系统中查找重复文件,2,1
1000029,直方图的水量,3,1
569,员工薪水中位数,3,1
307,区域和检索 - 数组可修改,2,1
1621,满足条件的子序列数目,2,1
965,独特的电子邮件地址,1,1
1242,矩阵区域和,2,1
955,完全二叉树插入器,2,1
896,具有所有最深结点的最小子树,2,1
993,最高的广告牌,3,1
255,验证前序遍历序列二叉搜索树,2,1
562,矩阵中最长的连续1线段,2,1
1251,段式回文,3,1
515,在每个树行中找最大值,2,1
636,函数的独占时间,2,1
771,将 N 叉树编码为二叉树,3,1
